bundle,deleted,entity_id,revision_id,langcode,delta,body_value,,body_format
news,0,6741,12821,en,0,Path: /faculty/linda-chafetz<br/>Path: /faculty/sandra-weiss<br/>,,rich_text
news,0,6841,12521,en,0,Path: /sites/nursing.ucsf.edu/files/NONPF_petition.pdf<br/>Path: annette.carley@ucsf.edu<br/>Path: joanne.saxe@ucsf.edu<br/>,,rich_text
news,0,7036,12881,en,0,Path: /staff/dayna-moore<br/>Path: /staff/mary-louise-fleming<br/>,,rich_text
news,0,7051,12901,en,0,Path: /staff/david-vlahov<br/>Path: /faculty/sally-rankin<br/>Path: /news/nursing-conference-highlights-trend-us-international-training<br/>Path: /content/istart-smart-promoting-health-and-weight-management-primary-care-clinic-overweight-and-obese<br/>Path: /news/lisa-lommel-honored-6th-pan-pacific-nursing-conference<br/>,,rich_text
news,0,7111,13181,en,0,Path: /faculty/david-mortara<br/>Path: /faculty/barbara-drew<br/>Path: /faculty/michele-pelter<br/>,,rich_text
news,0,7396,13366,en,0,Path: /about/center-for-global-health<br/>Path: /academic-program/advanced-practice-neonatal-nursing-nnp-or-cns<br/>Path: /about/HUB<br/>,,rich_text
news,0,7451,13441,en,0,Path: /faculty/mica-estrada<br/>,,rich_text
news,0,7881,14231,en,0,Path: /academic-program/diabetes-minor<br/>Path: /academic-program/genomics-minor<br/>Path: /academic-programs/geriatrics-minor<br/>Path: /academic-program/global-health-minor<br/>Path: /palliative-care/minor<br/>Path: /about/DIVA<br/>Path: /about/DIVA-projects<br/>Path: /sites/nursing.ucsf.edu/files/DIVASeptemberEvent2016.pdf<br/>Path: /staff/teashall-britton<br/>Path: /faculty/laura-wagner<br/>Path: /staff/sandra-weiss<br/>Path: /faculty/howard-pinderhughes<br/>,,rich_text
news,0,7966,14361,en,0,Path: /faculty/monica-mclemore<br/>Path: /news/monica-mclemore-know-her-truths-conference<br/>Path: /news/monica-mclemore-know-her-truths-conference<br/>,,rich_text
news,0,8076,14536,en,0,Path: /sites/nursing.ucsf.edu/files/ChestfeedingFlyer.pdf<br/>,,rich_text
news,0,8207,14777,en,0,Path: /faculty/pamela-bellefeuille<br/>Path: /node/3621<br/>Path: /staff/peterson-pierre<br/>Path: /faculty/angel-chen<br/>Path: /faculty/rosalind-de-lisser<br/>Path: /faculty/doranne-donesky<br/>Path: /faculty/suzan-stringari-murray<br/>,,rich_text
news,0,8341,16141,en,0,Path: /about/Shobe<br/>Path: /about/Shobe<br/>,,rich_text
news,0,8411,15091,en,0,Path: /faculty/oi-saeng-hong<br/>,,rich_text
news,0,8721,15641,en,0,Path: /faculty/ifeyinwa-asiodu<br/>Path: /faculty/emily-beck<br/>Path: /faculty/sharon-goldfarb<br/>Path: /faculty/jana-kohler<br/>Path: /faculty/andrea-kuster<br/>Path: /faculty/jayme-mejia<br/>Path: /faculty/lisa-mihaly<br/>Path: /faculty/sarah-nathan<br/>Path: /faculty/linda-stephan<br/>Path: /faculty/michalle-ramirez-mclaughlin<br/>Path: /faculty/penny-brennan<br/>Path: /faculty/jason-flatt<br/>Path: /faculty/deborah-gordon<br/>Path: /faculty/jenny-liu<br/>Path: /faculty/kristina-fortes<br/>Path: /faculty/cynthia-singh<br/>Path: /faculty/dawn-troeger<br/>Path: /faculty/sara-ackerman<br/>Path: /faculty/krista-sigurdson<br/>Path: /faculty/leslie-dubbin<br/>,,rich_text
news,0,8801,15726,en,0,Path: /staff/dayna-moore<br/>Path: /staff/karen-sanchez<br/>Path: /news/dayna-moore-selected-diversity-and-inclusion-certificate-program<br/>,,rich_text
news,0,8861,15881,en,0,Path: /academic-program/adult-gerontology-primary-care-nurse-practitioner-agpcnp<br/>Path: /academic-program/diabetes-minor<br/>,,rich_text
news,0,9051,16086,en,0,Path: /faculty/linda-franck<br/>Path: /faculty/kathleen-puntillo<br/>,,rich_text
news,0,9096,16166,en,0,Path: /programs/specialties/nurse-midwifery-womens-health-nurse-practitioner<br/>,,rich_text
news,0,9111,16191,en,0,Path: /faculty/elena-portacolone<br/>Path: /about/departments/institute-health-aging<br/>Path: /news/institute-health-and-aging-30th-anniversary-celebration<br/>,,rich_text
news,0,9446,16611,en,0,Path: /faculty/elena-portacolone<br/>Path: /about/departments/institute-health-aging<br/>Path: /news/institute-health-and-aging-30th-anniversary-celebration<br/>,,rich_text
news,0,9776,17121,en,0,Path: /programs/specialties/nurse-midwifery-womens-health-nurse-practitioner<br/>Path: /news/midwifery-40th-anniversary-celebrates-past-present-and-future<br/>,,rich_text
news,0,9851,17386,en,0,Path: /staff/sandra-weiss<br/>Path: /faculty/christine-miaskowski<br/>,,rich_text
news,0,10211,17866,en,0,Path: /staff/sergio-saenz<br/>Path: /faculty/mary-foley<br/>Path: /faculty/laura-wagner<br/>Path: /faculty/rosalind-de-lisser<br/>Path: /faculty/amanda-peacock<br/>Path: /faculty/michalle-ramirez-mclaughlin<br/>Path: /faculty/jayme-mejia<br/>Path: Sergio.Saenz@ucsf.edu<br/>Path: /about/events-diversity<br/>Path: /about/outreach<br/>Path: /news/new-faculty-welcomed-2016<br/>,,rich_text
news,0,10426,18811,en,0,Path: /faculty/rebekah-kaplan<br/>Path: /faculty/kim-dau<br/>Path: /faculty/susan-chapman<br/>,,rich_text
news,0,10561,18381,en,0,Path: /faculty/kathleen-puntillo<br/>,,rich_text
news,0,10836,18761,en,0,Path: /faculty/stella-bialous<br/>,,rich_text
news,0,10946,18951,en,0,Path: /faculty/pilar-bernal-de-pheils<br/>Path: /faculty/catherine-chesla<br/>Path: /associated-students-school-of-nursing<br/>Path: /news/helen-martin-rn-ms-fnp-memoriam<br/>Path: /news/helen-martin-award-excellence-clinical-precepting-banks<br/>,,rich_text
news,0,11081,19281,en,0,Path: /academic-program/masters-entry-program-nursing-mepn<br/>Path: /faculty/mary-foley<br/>Path: /faculty/kristine-warner<br/>Path: /faculty/pamela-bellefeuille<br/>Path: /faculty/howard-pinderhughes<br/>,,rich_text
news,0,11106,19336,en,0,Path: <br/>Path: <br/>Path: <br/>Path: /faculty/joanne-saxe<br/>Path: /academic-program/adult-gerontology-primary-care-nurse-practitioner-agpcnp<br/>,,rich_text
news,0,11126,19391,en,0,Path: /programs/specialties/nurse-midwifery-womens-health-nurse-practitioner<br/>Path: /faculty/cynthia-belew<br/>Path: /faculty/kim-dau<br/>Path: /faculty/deborah-anderson<br/>Path: /faculty/rebekah-kaplan<br/>,,rich_text
news,0,11241,19511,en,0,Path: /faculty/audrey-lyndon<br/>Path: /about/departments/family-health-care-nursing<br/>Path: /about/DIVA<br/>Path: /staff/sandra-weiss<br/>Path: /faculty/carol-dawson-rose<br/>Path: /faculty/catherine-chesla<br/>,,rich_text
